INFO - 2024-08-06 10:23:29,028 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:23:29,028 - jm_logger.property - The id 1954419284560 is used for jm_key
DEBUG - 2024-08-06 10:23:29,028 - jm_logger.property - The id 1954419285136 is used for creation_date
DEBUG - 2024-08-06 10:23:29,028 - jm_logger.property - The id 1954419379536 is used for start
DEBUG - 2024-08-06 10:23:29,029 - jm_logger.property - The id 1954419379664 is used for length
DEBUG - 2024-08-06 10:23:29,029 - jm_logger.property - The id 1954419381008 is used for title
DEBUG - 2024-08-06 10:23:29,029 - jm_logger.property - The id 1954419381648 is used for description
INFO - 2024-08-06 10:25:49,900 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:25:49,901 - jm_logger.property - The id 2487014808592 is used for jm_key
DEBUG - 2024-08-06 10:25:49,901 - jm_logger.property - The id 2487014812880 is used for creation_date
DEBUG - 2024-08-06 10:25:49,902 - jm_logger.property - The id 2487014941712 is used for start
DEBUG - 2024-08-06 10:25:49,902 - jm_logger.property - The id 2487014751632 is used for length
DEBUG - 2024-08-06 10:25:49,902 - jm_logger.property - The id 2487014942288 is used for title
DEBUG - 2024-08-06 10:25:49,902 - jm_logger.property - The id 2487014942608 is used for description
DEBUG - 2024-08-06 10:25:49,910 - jm_logger.event - This is the __init__ in Keyed: jm_key: 066b1ec1-de92-7e94-8000-a33b6a3a8f66
DEBUG - 2024-08-06 10:25:49,910 - jm_logger.event - This is the __init__ in Audited: creation_date = 2024-08-06 09:25:49.910867+00:00
INFO - 2024-08-06 10:25:49,910 - jm_logger.event - Created event: id=066b1ec1-de92-7e94-8000-a33b6a3a8f66, title=Test
INFO - 2024-08-06 10:28:29,286 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:28:29,287 - jm_logger.property - The id 2522261626448 is used for jm_key
DEBUG - 2024-08-06 10:28:29,287 - jm_logger.property - The id 2522261627600 is used for creation_date
DEBUG - 2024-08-06 10:28:29,287 - jm_logger.property - The id 2522261557520 is used for start
DEBUG - 2024-08-06 10:28:29,287 - jm_logger.property - The id 2522261557136 is used for length
DEBUG - 2024-08-06 10:28:29,287 - jm_logger.property - The id 2522261557072 is used for title
DEBUG - 2024-08-06 10:28:29,287 - jm_logger.property - The id 2522261557328 is used for description
INFO - 2024-08-06 10:28:34,275 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:28:34,276 - jm_logger.property - The id 1511533716176 is used for jm_key
DEBUG - 2024-08-06 10:28:34,276 - jm_logger.property - The id 1511533720464 is used for creation_date
DEBUG - 2024-08-06 10:28:34,276 - jm_logger.property - The id 1511533866192 is used for start
DEBUG - 2024-08-06 10:28:34,276 - jm_logger.property - The id 1511533866512 is used for length
DEBUG - 2024-08-06 10:28:34,276 - jm_logger.property - The id 1511533866832 is used for title
DEBUG - 2024-08-06 10:28:34,276 - jm_logger.property - The id 1511533867152 is used for description
DEBUG - 2024-08-06 10:28:34,283 - jm_logger.event - This is the __init__ in Keyed: jm_key: 066b1ecc-2487-7be8-8000-cb4873908c8e
DEBUG - 2024-08-06 10:28:34,283 - jm_logger.event - This is the __init__ in Audited: creation_date = 2024-08-06 09:28:34.283140+00:00
INFO - 2024-08-06 10:28:34,284 - jm_logger.event - Created event: id=066b1ecc-2487-7be8-8000-cb4873908c8e, title=Test
INFO - 2024-08-06 10:29:25,603 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:29:25,603 - jm_logger.property - The id 2057446579536 is used for jm_key
DEBUG - 2024-08-06 10:29:25,603 - jm_logger.property - The id 2057446579984 is used for creation_date
DEBUG - 2024-08-06 10:29:25,603 - jm_logger.property - The id 2057446687504 is used for start
DEBUG - 2024-08-06 10:29:25,603 - jm_logger.property - The id 2057446692176 is used for length
DEBUG - 2024-08-06 10:29:25,603 - jm_logger.property - The id 2057446692112 is used for title
DEBUG - 2024-08-06 10:29:25,603 - jm_logger.property - The id 2057446691216 is used for description
INFO - 2024-08-06 10:29:30,044 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:29:30,044 - jm_logger.property - The id 1918584824336 is used for jm_key
DEBUG - 2024-08-06 10:29:30,044 - jm_logger.property - The id 1918584973712 is used for creation_date
DEBUG - 2024-08-06 10:29:30,044 - jm_logger.property - The id 1918584974224 is used for start
DEBUG - 2024-08-06 10:29:30,045 - jm_logger.property - The id 1918584974544 is used for length
DEBUG - 2024-08-06 10:29:30,045 - jm_logger.property - The id 1918584974864 is used for title
DEBUG - 2024-08-06 10:29:30,045 - jm_logger.property - The id 1918584975184 is used for description
DEBUG - 2024-08-06 10:29:30,047 - jm_logger.event - This is the __init__ in Keyed: jm_key: 066b1ecf-a0c2-7dd5-8000-4a89d60a8f9d
DEBUG - 2024-08-06 10:29:30,051 - jm_logger.event - This is the __init__ in Audited: creation_date = 2024-08-06 09:29:30.047574+00:00
INFO - 2024-08-06 10:29:30,051 - jm_logger.event - Created event: id=066b1ecf-a0c2-7dd5-8000-4a89d60a8f9d, title=Test
INFO - 2024-08-06 10:30:33,102 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:30:33,103 - jm_logger.property - The id 2496601201872 is used for jm_key
DEBUG - 2024-08-06 10:30:33,103 - jm_logger.property - The id 2496601201808 is used for creation_date
DEBUG - 2024-08-06 10:30:33,103 - jm_logger.property - The id 2496601101712 is used for start
DEBUG - 2024-08-06 10:30:33,103 - jm_logger.property - The id 2496601099280 is used for length
DEBUG - 2024-08-06 10:30:33,103 - jm_logger.property - The id 2496601101904 is used for title
DEBUG - 2024-08-06 10:30:33,103 - jm_logger.property - The id 2496601101584 is used for description
INFO - 2024-08-06 10:30:36,796 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:30:36,797 - jm_logger.property - The id 2169594191952 is used for jm_key
DEBUG - 2024-08-06 10:30:36,797 - jm_logger.property - The id 2169594196368 is used for creation_date
DEBUG - 2024-08-06 10:30:36,797 - jm_logger.property - The id 2169594341968 is used for start
DEBUG - 2024-08-06 10:30:36,797 - jm_logger.property - The id 2169594342288 is used for length
DEBUG - 2024-08-06 10:30:36,797 - jm_logger.property - The id 2169594342608 is used for title
DEBUG - 2024-08-06 10:30:36,797 - jm_logger.property - The id 2169594342928 is used for description
DEBUG - 2024-08-06 10:30:36,801 - jm_logger.event - This is the __init__ in Keyed: jm_key: 066b1ed3-ccd3-7962-8000-f2e3ff69c3cd
DEBUG - 2024-08-06 10:30:36,806 - jm_logger.event - This is the __init__ in Audited: creation_date = 2024-08-06 09:30:36.801656+00:00
INFO - 2024-08-06 10:30:36,806 - jm_logger.event - Created event: id=066b1ed3-ccd3-7962-8000-f2e3ff69c3cd, title=Test
INFO - 2024-08-06 10:31:00,301 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:31:00,302 - jm_logger.property - The id 1901226827408 is used for jm_key
DEBUG - 2024-08-06 10:31:00,302 - jm_logger.property - The id 1901226827344 is used for creation_date
DEBUG - 2024-08-06 10:31:00,302 - jm_logger.property - The id 1901226724880 is used for start
DEBUG - 2024-08-06 10:31:00,302 - jm_logger.property - The id 1901226726288 is used for length
DEBUG - 2024-08-06 10:31:00,302 - jm_logger.property - The id 1901226726224 is used for title
DEBUG - 2024-08-06 10:31:00,302 - jm_logger.property - The id 1901226727632 is used for description
INFO - 2024-08-06 10:31:06,711 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:31:06,711 - jm_logger.property - The id 2237141492112 is used for jm_key
DEBUG - 2024-08-06 10:31:06,711 - jm_logger.property - The id 2237141641168 is used for creation_date
DEBUG - 2024-08-06 10:31:06,711 - jm_logger.property - The id 2237141641680 is used for start
DEBUG - 2024-08-06 10:31:06,712 - jm_logger.property - The id 2237141642128 is used for length
DEBUG - 2024-08-06 10:31:06,712 - jm_logger.property - The id 2237141642384 is used for title
DEBUG - 2024-08-06 10:31:06,712 - jm_logger.property - The id 2237141642640 is used for description
DEBUG - 2024-08-06 10:31:06,715 - jm_logger.event - This is the __init__ in Keyed: jm_key: 066b1ed5-ab70-7571-8000-4159452fc8f4
DEBUG - 2024-08-06 10:31:06,719 - jm_logger.event - This is the __init__ in Audited: creation_date = 2024-08-06 09:31:06.715850+00:00
INFO - 2024-08-06 10:31:06,719 - jm_logger.event - Created event: id=066b1ed5-ab70-7571-8000-4159452fc8f4, title=Test
INFO - 2024-08-06 10:32:42,263 - jm_logger - Logger Starting: will log 'DEBUG' messages and above to: log.txt
DEBUG - 2024-08-06 10:32:42,263 - jm_logger.property - The id 2429291616144 is used for jm_key
